"","ï..Service.Center","County","Initial.Services.Sought.at.First.Visit","Attended.Group.Training.","Total.Counseling.Time..hrs","Business.Status","Impact..Capital.Investments","Impact..Created.New.Jobs","Impact..Revenue.Increase","Impact..Started.Business","Company.s.Total.employees","Company.s.Gross.Revenue...","NAICS.code","Ownership.Gender","Owner.s.Hispanic.Origin","Owner.s.Race","started","CC","Male"
"1008","Baltimore County","Baltimore","Counseling","No",6.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"48","Male/Female-Owned","Non-Hispanic","White/Caucasian",0,1,0
"1009","Baltimore County","Baltimore","Counseling","No",5.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"23","Male/Female-Owned","Non-Hispanic","White/Caucasian",0,1,0
"1010","Baltimore County","Baltimore","Training","Yes",22.5,"Started with SBDC",3e+05,2,0,"Yes",2,60000,"62","Male/Female-Owned","Non-Hispanic","Black or African American",1,1,0
"1011","Baltimore County","Baltimore","Training","Yes",8,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Male-Owned","Non-Hispanic","Black or African American",0,1,1
"1012","Baltimore County","Baltimore","Counseling","No",29.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"62","Male-Owned","Non-Hispanic","Choose not to respond",0,1,1
"1013","Baltimore County","Baltimore","Counseling","No",2.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"81","Male-Owned","Non-Hispanic","Black or African American",0,1,1
"1014","Baltimore County","Baltimore","Counseling","Yes",18.5,"Started with SBDC",20000,0,0,"Yes",1,60000,"54","Male/Female-Owned","Non-Hispanic","Black or African American",1,1,0
"1015","Baltimore County","Baltimore","Counseling","No",4.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"44","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1016","Baltimore County","Baltimore","Counseling","No",18.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"33","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1017","Baltimore County","Baltimore","Counseling","No",5.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"62","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1018","Baltimore County","Harford","Counseling","No",6.200000003,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1019","Baltimore County","Baltimore","Counseling","No",16.6,"In Business (> 1 year)",25000,2,0,"Yes",2,150000,"54","Male-Owned","Non-Hispanic","White/Caucasian",1,1,1
"1020","Baltimore County","Harford","Counseling","No",8,"Started with SBDC",0,0,0,"Yes",1,60000,"71","Woman-Owned","Non-Hispanic","White/Caucasian",1,1,0
"1021","Baltimore County","Baltimore City","Counseling","No",5.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Woman-Owned","Non-Hispanic","White/Caucasian",0,0,0
"1022","Baltimore County","Baltimore","Counseling","No",3,"Pre-venture/Nascent",0,0,0,"No",0,0,"56","Male-Owned","Non-Hispanic","Black or African American",0,1,1
"1023","Baltimore County","Cecil","Counseling","No",7.400000006,"Pre-venture/Nascent",0,0,0,"No",0,0,"42","Male-Owned","Non-Hispanic","White/Caucasian",0,0,1
"1024","Baltimore County","Baltimore City","Counseling","No",6,"Pre-venture/Nascent",0,0,0,"No",0,0,"72","Male-Owned","Non-Hispanic","Black or African American",0,0,1
"1025","Baltimore County","Baltimore","Counseling","No",2.5,"Start-up (in bus. < 1 year)",0,0,0,"Yes",1,0,"62","Male-Owned","Non-Hispanic","White/Caucasian",1,1,1
"1026","Baltimore County","Baltimore","Counseling","No",26.35,"Started with SBDC",5e+06,0,5e+05,"Yes",1,500000,"42","Male-Owned","Non-Hispanic","White/Caucasian",1,1,1
"1027","Baltimore County","Baltimore City","Counseling","No",18.6,"Pre-venture/Nascent",2180,0,0,"No",0,0,"45","Woman-Owned","Non-Hispanic","White/Caucasian",0,0,0
"1028","Baltimore County","Baltimore","Counseling","Yes",3.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"56","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1029","Baltimore County","Baltimore","Counseling","No",6.350000001,"Pre-venture/Nascent",0,0,0,"No",0,0,"56","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1030","Baltimore County","Baltimore","Training","Yes",22.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"44","Male-Owned","Non-Hispanic","Asian",0,1,1
"1031","Baltimore County","Baltimore","Counseling","No",3.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"56","Male/Female-Owned","Non-Hispanic","White/Caucasian",0,1,0
"1032","Baltimore County","Baltimore City","Counseling","No",13,"Pre-venture/Nascent",0,0,0,"No",0,0,"62","Male-Owned","Non-Hispanic","Black or African American",0,0,1
"1033","Baltimore County","Baltimore","Counseling","No",12.5,"Start-up (in bus. < 1 year)",0,1,40000,"Yes",1,40000,"61","Male-Owned","Non-Hispanic","White/Caucasian",1,1,1
"1034","Baltimore County","Baltimore City","Counseling","No",5.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"72","Male-Owned","Non-Hispanic","White/Caucasian",0,0,1
"1035","Baltimore County","Baltimore","Counseling","No",2.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Male-Owned","Non-Hispanic","Black or African American",0,1,1
"1036","Baltimore County","Baltimore","Counseling","No",4,"Pre-venture/Nascent",0,0,0,"No",0,0,"23","Woman-Owned","Non-Hispanic","Black or African American",0,1,0
"1037","Baltimore County","Howard","Training","Yes",6.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"51","Male-Owned","Non-Hispanic","Choose not to respond",0,1,1
"1038","Baltimore County","Anne Arundel","Counseling","Yes",2,"Pre-venture/Nascent",0,0,0,"No",0,0,"56","Woman-Owned","Non-Hispanic","White/Caucasian",0,0,0
"1039","Baltimore County","Harford","Training","Yes",41.1,"In Business (> 1 year)",0,0,0,"Yes",1,150000,"62","Male-Owned","Non-Hispanic","Black or African American",1,1,1
"1040","Baltimore County","Baltimore","Counseling","No",14,"Pre-venture/Nascent",0,0,0,"No",0,0,"72","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1041","Baltimore County","Baltimore","Counseling","Yes",2,"Pre-venture/Nascent",0,0,0,"No",0,0,"61","Woman-Owned","Non-Hispanic","Black or African American",0,1,0
"1042","Baltimore County","Baltimore","Counseling","No",3.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"23","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1043","Baltimore County","Baltimore","Counseling","No",13.25,"Started with SBDC",547000,33,600766,"Yes",33,600766,"72","Male/Female-Owned","Non-Hispanic","White/Caucasian",1,1,0
"1044","Baltimore County","Baltimore","Counseling","No",3.750000007,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1045","Baltimore County","Baltimore","Counseling","Yes",4.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Male-Owned","Hispanic","White/Caucasian",0,1,1
"1046","Baltimore County","Baltimore","Counseling","No",5.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"71","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1047","Baltimore County","Baltimore","Counseling","No",26.6,"Started with SBDC",4e+05,10,70000,"Yes",10,70000,"33","Male-Owned","Non-Hispanic","White/Caucasian",1,1,1
"1048","Baltimore County","Baltimore","Counseling","No",8.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"72","Male-Owned","Non-Hispanic","Asian",0,1,1
"1049","Baltimore County","Carroll","Counseling","No",4.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"31","Male-Owned","Non-Hispanic","White/Caucasian",0,0,1
"1050","Baltimore County","Baltimore","Counseling","Yes",5.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"32","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1051","Baltimore County","Baltimore","Training","Yes",8.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"44","Male-Owned","Non-Hispanic","Asian",0,1,1
"1052","Baltimore County","Baltimore","Counseling","No",2.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"44","Male-Owned","Non-Hispanic","Black or African American",0,1,1
"1053","Baltimore County","Baltimore","Counseling","Yes",24.75,"Started with SBDC",7000,3,3000,"Yes",3,3000,"81","Woman-Owned","Non-Hispanic","Black or African American",1,1,0
"1054","Baltimore County","Baltimore","Counseling","No",3.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"56","Male-Owned","Non-Hispanic","Black or African American",0,1,1
"1055","Baltimore County","Baltimore","Counseling","No",8,"Pre-venture/Nascent",0,0,0,"No",0,0,"45","Male-Owned","Non-Hispanic","Choose not to respond",0,1,1
"1056","Baltimore County","Baltimore","Counseling","No",8.200000003,"Pre-venture/Nascent",0,0,0,"No",0,0,"72","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1057","Baltimore County","Baltimore","Counseling","No",5,"Start-up (in bus. < 1 year)",0,4,0,"Yes",4,0,"62","Woman-Owned","Non-Hispanic","Black or African American",1,1,0
"1058","Baltimore County","Baltimore","Counseling","No",4.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"52","Woman-Owned","Non-Hispanic","Black or African American",0,1,0
"1059","Baltimore County","Baltimore City","Counseling","No",4.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"72","Male-Owned","Non-Hispanic","White/Caucasian",0,0,1
"1060","Baltimore County","Baltimore","Counseling","No",2.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"62","Woman-Owned","Non-Hispanic","White/Caucasian",0,1,0
"1061","Baltimore County","Baltimore","Counseling","No",3.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"53","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1062","Baltimore County","Baltimore","Counseling","No",3.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"44","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1063","Baltimore County","Baltimore","Counseling","No",4.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"61","Woman-Owned","Non-Hispanic","White/Caucasian",0,1,0
"1064","Baltimore County","Baltimore","Counseling","No",3.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1065","Baltimore County","Harford","Training","No",0.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Woman-Owned","Non-Hispanic","White/Caucasian",0,1,0
"1066","Baltimore County","Baltimore","Counseling","No",3.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"56","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1067","Baltimore County","Baltimore","Counseling","No",3,"Pre-venture/Nascent",0,0,0,"No",0,0,"62","Woman-Owned","Non-Hispanic","Black or African American",0,1,0
"1068","Baltimore County","Baltimore City","Counseling","No",11,"Pre-venture/Nascent",0,0,0,"No",0,0,"62","Woman-Owned","Non-Hispanic","Black or African American",0,0,0
"1069","Baltimore County","Baltimore City","Counseling","No",33.58,"Pre-venture/Nascent",800,0,0,"No",0,0,"33","Male-Owned","Non-Hispanic","Black or African American",0,0,1
"1070","Baltimore County","Baltimore","Counseling","No",3,"Pre-venture/Nascent",0,0,0,"No",0,0,"71","Male-Owned","Non-Hispanic","Black or African American",0,1,1
"1071","Baltimore County","Baltimore","Counseling","Yes",34.6,"Start-up (in bus. < 1 year)",2e+05,1,1e+05,"Yes",1,100000,"31","Male-Owned","Non-Hispanic","White/Caucasian",1,1,1
"1072","Baltimore County","Baltimore","Counseling","No",2.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"31","Woman-Owned","Non-Hispanic","White/Caucasian",0,1,0
"1073","Baltimore County","Baltimore","Counseling","No",3,"Pre-venture/Nascent",0,0,0,"No",0,0,"62","Woman-Owned","Non-Hispanic","Black or African American",0,1,0
"1074","Baltimore County","Baltimore","Counseling","Yes",31.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"62","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1075","Baltimore County","Baltimore","Counseling","No",8,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Male-Owned","Non-Hispanic","Asian",0,1,1
"1076","Baltimore County","Baltimore","Counseling","Yes",6.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Male-Owned","Non-Hispanic","Black or African American",0,1,1
"1077","Baltimore County","Baltimore","Counseling","No",13.85,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Woman-Owned","Hispanic","White/Caucasian",0,1,0
"1078","Baltimore County","Baltimore","Counseling","No",10.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"72","Male-Owned","Non-Hispanic","Black or African American",0,1,1
"1079","Baltimore County","Baltimore","Counseling","Yes",2.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"56","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1080","Baltimore County","Baltimore","Counseling","No",6,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1081","Baltimore County","Baltimore","Counseling","No",2,"Pre-venture/Nascent",0,0,0,"No",0,0,"33","Male-Owned","Non-Hispanic","Black or African American",0,1,1
"1082","Baltimore County","Harford","Counseling","No",5.350000001,"Pre-venture/Nascent",0,0,0,"No",0,0,"81","Woman-Owned","Non-Hispanic","Black or African American",0,1,0
"1083","Baltimore County","Baltimore","Counseling","No",26.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"53","Woman-Owned","Non-Hispanic","Black or African American",0,1,0
"1084","Baltimore County","Baltimore","Counseling","No",3,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1085","Baltimore County","Baltimore City","Counseling","No",3.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"61","Woman-Owned","Non-Hispanic","Black or African American",0,0,0
"1086","Baltimore County","Howard","Counseling","No",5.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"72","Choose not to respond","Non-Hispanic","White/Caucasian",0,1,0
"1087","Baltimore County","Howard","Counseling","No",5,"Pre-venture/Nascent",0,0,0,"No",0,0,"72","Male-Owned","Non-Hispanic","Choose not to respond",0,1,1
"1088","Baltimore County","Baltimore City","Counseling","Yes",2.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"81","Male-Owned","Non-Hispanic","Black or African American",0,0,1
"1089","Baltimore County","Baltimore","Counseling","No",4.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"72","Woman-Owned","Non-Hispanic","White/Caucasian",0,1,0
"1090","Baltimore County","Baltimore","Counseling","No",2,"Pre-venture/Nascent",0,0,0,"No",0,0,"31","Woman-Owned","Non-Hispanic","White/Caucasian",0,1,0
"1091","Baltimore County","Baltimore","Counseling","Yes",4.829999998,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Woman-Owned","Non-Hispanic","Black or African American",0,1,0
"1092","Baltimore County","Baltimore","Counseling","No",7,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Male/Female-Owned","Non-Hispanic","White/Caucasian",0,1,0
"1093","Baltimore County","Baltimore","Training","Yes",4.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"23","Woman-Owned","Non-Hispanic","White/Caucasian",0,1,0
"1094","Baltimore County","Baltimore","Counseling","No",12,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Male-Owned","Non-Hispanic","Black or African American",0,1,1
"1095","Baltimore County","Baltimore","Counseling","Yes",5.050000012,"Pre-venture/Nascent",0,0,0,"No",0,0,"23","Male-Owned","Non-Hispanic","Black or African American",0,1,1
"1096","Baltimore County","Baltimore","Counseling","No",12.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Choose not to respond","Non-Hispanic","Asian",0,1,0
"1097","Baltimore County","Baltimore","Counseling","No",13.75000001,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Male-Owned","Non-Hispanic","Black or African American",0,1,1
"1098","Baltimore County","Harford","Counseling","No",6.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"71","Woman-Owned","Non-Hispanic","White/Caucasian",0,1,0
"1099","Baltimore County","Outside of Maryland","Training","Yes",8.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"45","Woman-Owned","Choose not to respond","Choose not to respond",0,0,0
"1100","Baltimore County","Baltimore","Training","Yes",5.480000049,"Pre-venture/Nascent",0,0,0,"No",0,0,"62","Woman-Owned","Non-Hispanic","Black or African American",0,1,0
"1101","Baltimore County","Anne Arundel","Counseling","No",5.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Male-Owned","Hispanic","White/Caucasian",0,0,1
"1102","Baltimore County","Baltimore","Counseling","No",6.230000049,"Pre-venture/Nascent",0,0,0,"No",0,0,"81","Male-Owned","Non-Hispanic","Black or African American",0,1,1
"1103","Baltimore County","Baltimore","Counseling","No",9.200000048,"Pre-venture/Nascent",0,0,0,"No",0,0,"72","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1104","Baltimore County","Baltimore","Counseling","No",10.25,"Start-up (in bus. < 1 year)",0,0,0,"Yes",1,0,"48","Male-Owned","Non-Hispanic","Black or African American",1,1,1
"1105","Baltimore County","Baltimore","Counseling","No",2.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"44","Male-Owned","Non-Hispanic","Asian",0,1,1
"1106","Baltimore County","Baltimore","Counseling","No",10.95,"Pre-venture/Nascent",0,0,0,"No",0,0,"23","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1107","Baltimore County","Baltimore","Counseling","No",1.5,"Pre-venture/Nascent",30000,1,0,"No",1,0,"72","Woman-Owned","Non-Hispanic","Choose not to respond",0,1,0
"1108","Baltimore County","Baltimore","Counseling","No",2.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"56","Male-Owned","Choose not to respond","Choose not to respond",0,1,1
"1109","Baltimore County","Baltimore","Counseling","Yes",16.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"51","Male-Owned","Non-Hispanic","Black or African American",0,1,1
"1110","Baltimore County","Baltimore","Counseling","Yes",9.850000001,"Started with SBDC",34000,3,0,"Yes",3,60000,"54","Male-Owned","Non-Hispanic","White/Caucasian",1,1,1
"1111","Baltimore County","Baltimore","Counseling","No",2.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"44","Male-Owned","Non-Hispanic","Black or African American",0,1,1
"1112","Baltimore County","Baltimore","Counseling","No",3.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Choose not to respond","Non-Hispanic","White/Caucasian",0,1,0
"1113","Baltimore County","Baltimore","Counseling","No",2.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"32","Woman-Owned","Non-Hispanic","White/Caucasian",0,1,0
"1114","Baltimore County","Baltimore","Counseling","No",10.44999999,"Pre-venture/Nascent",0,0,0,"No",0,0,"44","Choose not to respond","Non-Hispanic","Asian",0,1,0
"1115","Baltimore County","Baltimore","Counseling","No",14,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Woman-Owned","Non-Hispanic","Black or African American",0,1,0
"1116","Baltimore County","Baltimore","Training","Yes",2.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"51","Woman-Owned","Non-Hispanic","Black or African American",0,1,0
"1117","Baltimore County","Baltimore","Counseling","No",2.600000001,"Pre-venture/Nascent",0,0,0,"No",0,0,"44","Woman-Owned","Non-Hispanic","White/Caucasian",0,1,0
"1118","Baltimore County","Harford","Training","Yes",2.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Choose not to respond","Choose not to respond","Choose not to respond",0,1,0
"1119","Baltimore County","Baltimore City","Counseling","Yes",12.35,"Pre-venture/Nascent",0,0,0,"No",0,0,"71","Woman-Owned","Non-Hispanic","Black or African American",0,0,0
"1120","Baltimore County","Baltimore","Training","Yes",3.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"48","Woman-Owned","Non-Hispanic","Black or African American",0,1,0
"1121","Baltimore County","Baltimore","Counseling","No",4,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1122","Baltimore County","Baltimore","Counseling","Yes",18.85,"Started with SBDC",0,1,32000,"Yes",1,32000,"54","Woman-Owned","Non-Hispanic","Asian",1,1,0
"1123","Baltimore County","Baltimore","Counseling","No",5.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"72","Male-Owned","Non-Hispanic","Asian",0,1,1
"1124","Baltimore County","Baltimore","Counseling","No",7,"Pre-venture/Nascent",0,0,0,"No",0,0,"72","Male-Owned","Non-Hispanic","Black or African American",0,1,1
"1125","Baltimore County","Baltimore","Counseling","No",13.35,"Pre-venture/Nascent",0,0,0,"No",0,0,"51","Male-Owned","Non-Hispanic","Black or African American",0,1,1
"1126","Baltimore County","Baltimore","Counseling","No",5.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"31","Male/Female-Owned","Non-Hispanic","White/Caucasian",0,1,0
"1127","Baltimore City","Baltimore","Training","Yes",25.75,"Started with SBDC",0,0,0,"Yes",1,60000,"54","Woman-Owned","Non-Hispanic","Black or African American",1,1,0
"1128","Baltimore County","Baltimore","Counseling","No",4,"Pre-venture/Nascent",0,0,0,"No",0,0,"61","Woman-Owned","Non-Hispanic","White/Caucasian",0,1,0
"1129","Baltimore County","Baltimore City","Counseling","Yes",2.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"45","Male-Owned","Choose not to respond","Black or African American",0,0,1
"1130","Baltimore County","Baltimore","Counseling","No",4.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"72","Woman-Owned","Non-Hispanic","Black or African American",0,1,0
"1131","Baltimore County","Baltimore","Counseling","Yes",4.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"33","Male-Owned","Non-Hispanic","Black or African American",0,1,1
"1132","Baltimore County","Baltimore","Counseling","No",4.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"33","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1133","Baltimore County","Outside of Maryland","Counseling","No",12,"Pre-venture/Nascent",0,0,0,"No",0,0,"42","Male-Owned","Non-Hispanic","Black or African American",0,0,1
"1134","Baltimore County","Baltimore","Counseling","No",4.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"81","Woman-Owned","Non-Hispanic","White/Caucasian",0,1,0
"1135","Baltimore County","Baltimore City","Counseling","No",2,"Pre-venture/Nascent",0,0,0,"No",0,0,"53","Male-Owned","Non-Hispanic","Choose not to respond",0,0,1
"1136","Baltimore County","Baltimore","Counseling","Yes",37.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"45","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1137","Baltimore County","Baltimore","Counseling","No",2.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"71","Woman-Owned","Non-Hispanic","White/Caucasian",0,1,0
"1138","Baltimore County","Baltimore","Counseling","No",3.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1139","Baltimore County","Baltimore","Counseling","No",2.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"72","Male-Owned","Non-Hispanic","Black or African American",0,1,1
"1140","Baltimore County","Baltimore City","Counseling","No",4.350000001,"Pre-venture/Nascent",0,0,0,"No",0,0,"45","Woman-Owned","Non-Hispanic","White/Caucasian",0,0,0
"1141","Baltimore County","Baltimore","Counseling","No",59.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1142","Baltimore County","Baltimore","Training","Yes",3.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Choose not to respond","Non-Hispanic","White/Caucasian",0,1,0
"1143","Baltimore County","Baltimore City","Training","Yes",2.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"61","Male-Owned","Non-Hispanic","Black or African American",0,0,1
"1144","Baltimore County","Baltimore","Counseling","No",3.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"72","Male-Owned","Non-Hispanic","Black or African American",0,1,1
"1145","Baltimore County","Baltimore","Training","Yes",11.75,"Started with SBDC",0,0,0,"Yes",1,60000,"71","Male-Owned","Non-Hispanic","Black or African American",1,1,1
"1146","Baltimore County","Baltimore City","Counseling","Yes",3.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"45","Woman-Owned","Non-Hispanic","Black or African American",0,0,0
"1147","Baltimore County","Baltimore","Counseling","No",6.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"53","Male-Owned","Non-Hispanic","Choose not to respond",0,1,1
"1148","Baltimore County","Anne Arundel","Counseling","No",2.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"52","Woman-Owned","Non-Hispanic","Black or African American",0,0,0
"1149","Baltimore County","Baltimore","Counseling","No",127.5,"Started with SBDC",922000,15,1100000,"Yes",15,1100000,"62","Woman-Owned","Non-Hispanic","Asian",1,1,0
"1150","Baltimore County","Baltimore","Counseling","No",10,"Pre-venture/Nascent",5e+05,0,0,"No",0,0,"44","Male-Owned","Non-Hispanic","Asian",0,1,1
"1151","Baltimore County","Baltimore","Counseling","No",4.850000001,"Pre-venture/Nascent",0,0,0,"No",0,0,"33","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1152","Baltimore County","Baltimore","Counseling","No",4.600000001,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Choose not to respond","Non-Hispanic","White/Caucasian",0,1,0
"1153","Baltimore County","Washington","Counseling","No",7.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"42","Male-Owned","Non-Hispanic","White/Caucasian",0,0,1
"1154","Baltimore County","Baltimore","Counseling","No",34.75,"Started with SBDC",5000,122,0,"Yes",122,60000,"54","Male-Owned","Non-Hispanic","White/Caucasian",1,1,1
"1155","Baltimore County","Baltimore","Counseling","No",6,"Pre-venture/Nascent",0,0,0,"No",0,0,"42","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1156","Baltimore County","Howard","Counseling","No",22.6,"Pre-venture/Nascent",0,0,0,"No",0,0,"81","Woman-Owned","Non-Hispanic","Choose not to respond",0,1,0
"1157","Baltimore County","Baltimore","Counseling","No",12.1,"Pre-venture/Nascent",0,0,0,"No",0,0,"31","Woman-Owned","Non-Hispanic","White/Caucasian",0,1,0
"1158","Baltimore County","Baltimore","Counseling","No",5.100000001,"Pre-venture/Nascent",0,0,0,"No",0,0,"31","Woman-Owned","Choose not to respond","Choose not to respond",0,1,0
"1159","Baltimore County","Baltimore","Training","Yes",5.75,"Pre-venture/Nascent",1000,0,0,"No",0,0,"54","Male-Owned","Non-Hispanic","Choose not to respond",0,1,1
"1160","Baltimore County","Anne Arundel","Counseling","No",3.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"62","Woman-Owned","Non-Hispanic","Choose not to respond",0,0,0
"1161","Baltimore County","Baltimore City","Counseling","No",3.850000001,"Started with SBDC",0,0,0,"Yes",1,60000,"62","Woman-Owned","Non-Hispanic","Choose not to respond",1,0,0
"1162","Baltimore County","Outside of Maryland","Counseling","No",5.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"81","Male-Owned","Non-Hispanic","White/Caucasian",0,0,1
"1163","Baltimore County","Baltimore","Counseling","No",4.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Male-Owned","Non-Hispanic","White/Caucasian",0,1,1
"1164","Baltimore County","Baltimore","Counseling","No",4.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Choose not to respond","Non-Hispanic","Black or African American",0,1,0
"1165","Baltimore County","Baltimore","Counseling","No",3.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"23","Woman-Owned","Non-Hispanic","Black or African American",0,1,0
